Algorithm_Instance_Name,Algorithm_RDF_Type,Algorithm_Architecture,Task_Type,Precision,Recall,F1_Score,mIoU,mAP,FPS,Parameters_M,GFLOPs,Hardware_Requirement,Data_Annotation_Cost_USD,Model_Retraining_Freq_months,Explainability_Score,Processing_Cost_per_GB,Dataset_Used,Key_Features,Training_Requirements
DL_ResNet50,DeepLearningAlgorithm,ResNet50,Classification,0.83,0.80,0.815,0,0,70,25.6,4.1,Standard_GPU,0.08,18,3,0.30,Crack-Types,Proven-architecture reliable,Transfer-learning standard
DL_VGG16,DeepLearningAlgorithm,VGG16,Classification,0.82,0.78,0.80,0,0,35,138.4,15.5,Standard_GPU,0.08,18,3,0.40,Crack-Types,Classic-architecture simple,Large-model transfer-learning
DL_CrackFormer,DeepLearningAlgorithm,CrackFormer-Transformer,Detection,0.87,0.84,0.855,0.81,0,6,120.5,180.2,HighEnd_GPU,3.00,3,1,2.50,Crack-Dataset,Transformer-based advanced,Large-resources transformer-specific
DL_MRC_YOLOv8,DeepLearningAlgorithm,MRC-YOLOv8-MultiResolution,Detection,0.88,0.85,0.865,0,0.88,40,12.3,25.6,HighEnd_GPU,0.60,6,2,0.70,Multi-Resolution,Multi-resolution adaptive,Complex-setup variable-input
ML_RandomForest_LiDAR,MachineLearningAlgorithm,RandomForest-NormalizedIntensity,Classification,0.82,0.78,0.80,0.83,0,800,0.05,0.01,CPU,0.00,24,4,0.25,LiDAR-PointCloud,Feature-based robust,Feature-engineering CPU-only
ML_SVM,MachineLearningAlgorithm,SVM-RBF-Kernel,Classification,0.85,0.82,0.835,0,0,1500,0.01,0.001,CPU,0.00,24,4,0.20,Crack-Patches,Classical-ML good-accuracy,Feature-extraction kernel-tuning
ML_RandomForest_Density,MachineLearningAlgorithm,RF-DensityClustering,Detection,0.80,0.76,0.78,0,0,1200,0.08,0.02,CPU,0.00,24,4,0.30,CFD-Dataset,Density-based spatial-aware,Feature-design clustering
PC_Tgrid_Method,PointCloudAlgorithm,Tgrid-GridConversion,Detection-Measurement,0.84,0.82,0.83,0,0,80,0.5,2.5,CPU,0.00,N/A,5,0.50,MLS-PointCloud,3D-native grid-based,Point-cloud-specific parameters
PC_PointNetPlus_Attention,PointCloudAlgorithm,PointNet++-Attention,Detection,0.83,0.80,0.815,0.75,0,40,12.8,35.7,HighEnd_GPU,0.80,9,2,0.95,PointCloud-Data,Deep-3D attention-enhanced,3D-annotation GPU-required
Traditional_Canny,TraditionalAlgorithm,Canny-EdgeDetection,Detection,0.55,0.52,0.535,0,0,400,0.001,0.1,CPU,0.00,N/A,5,0.12,Grayscale,Simple-fast limited-accuracy,Parameter-tuning lighting-sensitive
Traditional_Otsu,TraditionalAlgorithm,Otsu-AdaptiveThreshold,Segmentation,0.58,0.54,0.56,0,0,600,0.001,0.05,CPU,0.00,N/A,5,0.10,Grayscale,Automatic-threshold basic,Simple-scenes uniform-lighting
Traditional_Morphology,TraditionalAlgorithm,Morphological-Operations,Enhancement,0.60,0.56,0.58,0,0,800,0.001,0.02,CPU,0.00,N/A,5,0.08,Binary-Image,Preprocessing noise-removal,Support-role parameter-sensitive
